,Time,Theta1,Theta2,Omega1,Omega2,Theta1_dot,Theta2_dot,Omega1_dot,Omega2_dot
9152,4.5760000000000005,2.1019892344866973,26.76256635744028,7.525374579071761,-20.48318709545141,7.525374579071761,-20.48318709545141,-82.43081357236082,185.75150647602578
9153,4.5765,2.105744107723925,26.75234190688289,7.48484419781313,-20.39119416040381,7.48484419781313,-20.39119416040381,-83.59821487433199,187.03566177422317
9154,4.577,2.1094785237763802,26.742163489298335,7.443622354445005,-20.29832916203084,7.443622354445005,-20.29832916203084,-84.63038761883777,188.07880407859403
9155,4.5775,2.1131921331983876,26.73203155865198,7.401768042015591,-20.204699953177805,7.401768042015591,-20.204699953177805,-85.53287097305623,188.89172699221788
9156,4.578,2.116884616640954,26.721946516008657,7.359339901225079,-20.11041386634125,7.359339901225079,-20.11041386634125,-86.31132441047377,189.48541121289432
9157,4.5785,2.1205556848517424,26.71190870953276,7.316396220425948,-20.015577713669675,7.316396220425948,-20.015577713669675,-86.97149182913476,189.87095306295706
9158,4.579,2.1242050786751103,26.70191843448811,7.272994935622514,-19.920297786962504,7.272994935622514,-19.920297786962504,-87.51916845209018,190.05949870868827
9159,4.5795,2.1278325690520923,26.691975933238012,7.22919363047115,-19.82467985767059,7.22919363047115,-19.82467985767059,-87.96017051179072,190.0621840677253
9160,4.58,2.1314379570203767,26.682081395245334,7.185049536280525,-19.728829176896728,7.185049536280525,-19.728829176896728,-88.30030768799847,189.8900803367945
9161,4.5805,2.1350210737143493,26.672234957072362,7.140619532011137,-19.63285047539464,7.140619532011137,-19.63285047539464,-88.54535824141925,189.554145015956
9162,4.581,2.1385817803650697,26.662436702380887,7.095960144275543,-19.53684796356948,7.095960144275543,-19.53684796356948,-88.7010467624641,189.0651782588594
9163,4.5815,2.1421199683002548,26.65268666193224,7.051127547338599,-19.440925331478336,7.051127547338599,-19.440925331478336,-88.77302443611717,188.4337843406893
9164,4.582,2.1456355589443157,26.64298481358719,7.006177563116983,-19.345185748829238,7.006177563116983,-19.345185748829238,-88.7668517093643,187.67033800574498
9165,4.5825000000000005,2.1491285038183388,26.633331082306,6.961165661179441,-19.249731864981626,6.961165661179441,-19.249731864981626,-88.687983236706,186.78495543429062
9166,4.583,2.1525987845400683,26.62372534014847,6.916146958747012,-19.1546658089469,6.916146958747012,-19.1546658089469,-88.5417549715919,185.7874695525699
9167,4.5835,2.156046412823941,26.614167406273847,6.871176220692561,-19.06008918938737,6.871176220692561,-19.06008918938737,-88.33337326671337,184.68740939994365
9168,4.5840000000000005,2.1594714304810716,26.60465704694086,6.826307859541014,-18.966103094616795,6.826307859541014,-18.966103094616795,-88.06790584370208,183.49398326231528
9169,4.5845,2.1628739094192295,26.59519397550779,6.781595935469598,-18.87280809260086,6.781595935469598,-18.87280809260086,-87.75027449247102,182.21606528046357
