,Theta1,Theta2,Omega1,Omega2,x1_true,y1_true,x2_true,y2_true,Theta1_pred,Theta2_pred,Omega1_pred,Omega2_pred,x1_pred,y1_pred,x2_pred,y2_pred
57,1.1992831,16.422281,0.8878048,10.945839,0.24850549,-0.09681899,0.073789716,0.1046836,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
58,2.7628837,38.73749,-2.557015,18.676712,0.09860465,0.24780236,0.3283888,0.11242093,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
59,2.9582713,54.979843,-3.4749577,19.664656,0.048618425,0.26223108,-0.21808104,0.26170522,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
60,2.9101753,23.323818,2.167568,20.738813,0.06116959,0.2595904,-0.19800454,0.3225003,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
61,4.128641,14.973247,-5.8681445,-16.889082,-0.22253524,0.14699304,-0.043745697,0.34488994,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
62,3.554576,53.248344,-10.272347,27.406654,-0.10703833,0.2442779,-0.0648824,0.5076251,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
63,3.0763373,63.352257,7.5690303,23.79209,0.017391242,0.26613235,0.1500026,0.034738496,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
64,2.3380482,18.150726,9.704025,18.904503,0.19197625,0.1851324,0.020402253,-0.019051969,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
65,4.1348996,27.681688,0.96441627,19.84137,-0.22345084,0.14559744,-0.07448359,0.36681598,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
66,2.6348624,13.050353,-5.957941,-15.643704,0.1294351,0.23318543,0.25353274,-0.002883777,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
67,3.937074,15.577314,10.043892,-3.1694481,-0.19047728,0.1866743,-0.15573227,0.45110136,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
68,2.7032752,22.947443,7.757507,13.58003,0.1131919,0.24148805,-0.10471819,0.39525437,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
69,3.8313148,70.38399,7.870706,23.983665,-0.1697073,0.20573847,0.08493492,0.1264527,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
70,3.4897225,7.463533,9.849015,3.4302497,-0.09098215,0.25070128,0.15564558,0.14919436,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
71,4.1142726,7.741085,-1.1500587,13.1572075,-0.22040027,0.15017527,0.044601887,0.120129675,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
72,3.7164762,12.228522,-5.432861,8.872447,-0.14501467,0.22382948,-0.23341447,-0.027793974,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
73,2.9705245,13.816932,-9.955038,1.0117787,0.045401666,0.2628071,0.298543,0.17885265,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
74,2.4251237,42.756493,9.464794,22.009588,0.17514881,0.20112629,-0.07583675,0.11093129,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
75,2.4481087,59.735985,-7.8695025,25.59397,0.17048007,0.20509861,0.15828963,0.4715199,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
76,3.468894,25.861593,11.551204,18.67498,-0.08574107,0.25254178,0.09188481,0.05359973,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
77,4.090193,4.772699,-2.4998095,17.04104,-0.21672054,0.15543841,-0.48293567,0.13936351,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
78,2.5505383,16.27731,9.477441,1.8180385,0.14861506,0.2214553,0.004842043,0.44608435,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
79,3.4460945,24.872293,9.771174,18.162436,-0.07996146,0.25443083,-0.14864025,-0.0032746494,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
80,1.6786126,17.948969,5.334303,11.622271,0.26515138,0.028698921,0.05614081,-0.13696179,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
81,3.2774363,30.638115,-9.334799,-0.46654117,-0.036118165,0.264243,-0.2232674,0.07423234,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
82,2.0241506,18.67163,5.8485537,12.416634,0.23975877,0.11681018,0.19255613,-0.14567944,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
83,3.315203,74.39044,-1.2081457,20.378628,-0.046069622,0.26269084,-0.27160448,0.120342955,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
84,4.876146,22.478786,6.5592084,-4.1782966,-0.26313204,-0.043479018,-0.38809177,0.19213498,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
85,5.3169713,22.183336,2.9419289,-3.1827762,-0.21942465,-0.15159722,-0.27036616,0.11019249,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
86,3.1715527,12.819689,-6.6813226,6.071306,-0.007989138,0.2665803,0.05885058,0.008391738,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
87,1.7080175,11.00916,-4.9398737,-13.572291,0.264193,0.036482137,-0.0024823844,0.032858927,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
88,3.7542486,12.165016,-5.358713,9.287572,-0.1533638,0.21819358,-0.2575543,-0.027312502,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
89,3.4555771,13.978158,-10.534714,-7.891154,-0.0823705,0.2536612,0.180965,0.21143198,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
